,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,movies,,
,,,,
,,,,
,,,,
,,,,Comedy
,Marvel's The Avengers (2012),,,
,The African Queen (1951),,,
,Star Wars: Episode V - The Empire Strikes Back (1980),,,
,Once Upon a Time in the West (1968),,,
,Apocalypse Now (1979),,,
,Blade Runner 2049 (2017),,,
,The French Connection (1971),,,
,True Grit (2010),,,
,Isle of Dogs (2018),,,
,Throne of Blood (1957),,,
,"Aguirre, the Wrath of God (Aguirre, der Zorn Gottes) (1972)",,,
,Badlands (1974),,,
,Avengers: Infinity War (2018),,,
,Yellow Submarine (1968),,,
,Guardians of the Galaxy (2014),,,
,Iron Man (2008),,,
,Chicken Run (2000),,,
,Spartacus (1960),,,
,The Princess Bride (1987),,,
,Hunt for the Wilderpeople (2016),,,
,Ghostbusters (1984 Original) (1984),,,
,Goldfinger (1964),,,
,Paths of Glory (1957),,,
,Casino Royale (2006),,,
,All Is Lost (2013),,,
,Ran (1985),,,
,The Lego Batman Movie (2017),,,
,Doctor Strange (2016),,,
,A Fistful of Dollars (Per un Pugno di Dollari) (1964),,,
,Assault on Precinct 13 (1976),,,
,X-Men: Days of Future Past (2014),,,
,No Country for Old Men (2007),,,
,The Lord of the Rings: The Two Towers (2002),,,
,Looper (2012),,,
,Back to the Future (1985),,,
,The Right Stuff (1983),,,
,Gojira (1956),,,
,"Crouching Tiger, Hidden Dragon (2001)",,,
,The Fugitive (1993),,,
,Dawn Of The Planet Of The Apes (2014),,,
,Mad Max 2: The Road Warrior (1982),,,
,Mandy (2018),,,
,Who Framed Roger Rabbit (1988),,,
,Annihilation (2018),,,
,Close Encounters of the Third Kind (1977),,,
,Diva (1981),,,
,The Bridge on the River Kwai (1957),,,
,Babe (1995),,,
,Dr. No (1962),,,
,The Lion King (1994),,,
,Sicario (2015),,,
,Jurassic Park (1993),,,
,In the Line of Fire (1993),,,
,Raiders of the Lost Ark (1981),,,
,From Russia With Love (1964),,,
,Superman (1978),,,
